Interval=	0.001 s
ExcelDateTime=	4.6199458041968843e+004	6/26/2026 10:59:34.826108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0	0.0065625	-0.0003125	0.003125	0.0146875	0.00625	0.0053125
0.001	0.009375	-0.0009375	0.005625	0.013125	0.0028125	-0.0003125
0.002	0.0075	-0.0003125	0.00625	0.0121875	0.0046875	0.0009375
0.003	0.0028125	-0.003125	0.00625	0.0125	0.005	-0.00125
0.004	0.006875	-0.0021875	0.0040625	0.0125	0.0021875	0.0034375
0.005	0.0065625	0.0003125	0.0021875	0.0153125	0.004375	0.0034375
0.006	0.005	-0.003125	0.0040625	0.01625	0.003125	0.0015625
0.007	0.0071875	-0.0015625	0.0040625	0.0128125	0.0025	0.0003125
0.008	0.0071875	-0.00125	0.0065625	0.0121875	0.00375	-0.000625
0.009	0.009375	-0.0028125	0.001875	0.0159375	0.004375	-0.003125
0.01	0.0090625	-0.0003125	0.0046875	0.015625	0.0034375	-0.001875
0.011	0.00625	0.0003125	0.0040625	0.015	0.0046875	-0.00125
0.012	0.005	-0.001875	0.005	0.0140625	0.004375	-0.00125
0.013	0.0059375	-0.00375	0.005	0.013125	0.0040625	0.0040625
0.014	0.006875	0.0003125	0.001875	0.0159375	0.0034375	-0.000625
0.015	0.0071875	-0.0021875	0.0053125	0.015	0.00375	-0.001875
0.016	0.0071875	-0.001875	0.005625	0.0153125	0.0040625	0.0009375
0.017	0.0115625	-0.0003125	0.00625	0.0121875	0.004375	-0.0003125
0.018	0.006875	-0.0003125	0.0021875	0.0125	0.0040625	-0.0034375
0.019	0.008125	-0.001875	0.004375	0.015	0.0040625	-0.0009375
0.02	0.0065625	-0.0034375	0.004375	0.0125	0.0034375	0.00125
0.021	0.0065625	-0.0015625	0.0059375	0.014375	0.0025	0.0003125
0.022	0.01	-0.0009375	0.0046875	0.01375	0.003125	-0.001875
0.023	0.010625	-0.0009375	0.005625	0.011875	0.0025	-0.0009375
0.024	0.0053125	0.0015625	0.005625	0.015	0.006875	-0.0015625
0.025	0.0090625	-0.0021875	0.0071875	0.01625	0.00375	-0.00125
0.026	0.00625	-0.0028125	0.0053125	0.0140625	0.004375	0.000625
0.027	0.00625	0.000625	0.005	0.01375	0.0059375	-0.003125
0.028	0.0053125	-0.0003125	0.0040625	0.014375	0.003125	-0.0028125
0.029	0.0040625	-0.0015625	0.0034375	0.0128125	0.005625	0
0.03	0.0078125	-0.0025	0.005	0.0134375	0.0034375	0.0021875
0.031	0.0075	-0.0028125	0.00375	0.01375	0.0028125	-0.0015625
0.032	0.00875	-0.0015625	0.0059375	0.0146875	0.0053125	-0.00125
0.033	0.0075	-0.0028125	0.0053125	0.013125	0.00625	0.001875
0.034	0.008125	-0.000625	0.00625	0.015	0.00375	0.00125
0.035	0.005	-0.00125	0.00375	0.01375	0.005	0.000625
0.036	0.0090625	-0.00125	0.00625	0.0153125	0.0040625	-0.001875
0.037	0.0065625	-0.0009375	0.003125	0.0128125	0.003125	0.0009375
0.038	0.0090625	-0.004375	0.0059375	0.01375	0.00375	0
0.039	0.0084375	0	0.00625	0.0159375	0.0040625	0.0009375
0.04	0.0090625	0.0003125	0.0059375	0.0140625	0.001875	0.0003125
0.041	0.006875	-0.0053125	0.001875	0.0146875	0.001875	0.00125
0.042	0.0065625	-0.0015625	0.005	0.014375	0.004375	-0.0003125
0.043	0.005625	-0.0021875	0.0059375	0.0128125	0.0046875	0.0003125
0.044	0.0065625	-0.0028125	0.004375	0.0134375	0.0046875	-0.0015625
0.045	0.0053125	-0.0015625	0.00375	0.0121875	0.0046875	0.0003125
0.046	0.00625	-0.0021875	0.0040625	0.013125	0.0053125	0.005625
0.047	0.005	-0.0028125	0.00625	0.015625	0.005	0.0009375
0.048	0.0059375	0.0003125	0.0034375	0.014375	0.004375	-0.0025
0.049	0.0071875	-0.0015625	0.005625	0.0171875	0.0025	0.0003125
0.05	0.0075	-0.0028125	0.00625	0.0121875	0.0065625	0.0015625
0.051	0.006875	-0.0040625	0.004375	0.015	0.000625	0.00125
0.052	0.0065625	-0.001875	0.005625	0.015	0.0034375	-0.0003125
0.053	0.005625	-0.0015625	0.0046875	0.0125	0.0053125	0.0028125
0.054	0.006875	-0.0015625	0.004375	0.015	0.005	0.0015625
0.055	0.006875	-0.003125	0.00625	0.0153125	0.0009375	-0.0003125
0.056	0.006875	0	0.0046875	0.0128125	0.0053125	0.0015625
0.057	0.0078125	-0.0021875	0.001875	0.015	0.0015625	0
0.058	0.0078125	-0.003125	0.005625	0.0128125	0.0015625	0.001875
0.059	0.01	-0.00125	0.0034375	0.014375	0.0059375	0.0009375
0.06	0.0046875	-0.003125	0.0046875	0.0134375	0.004375	0
0.061	0.00625	0.0003125	0.0053125	0.013125	0.0046875	-0.00125
0.062	0.006875	-0.0009375	0.00375	0.0140625	0.00375	0.0003125
0.063	0.0071875	-0.003125	0.0053125	0.0153125	0.0040625	0.000625
0.064	0.0053125	-0.0021875	0.0046875	0.0128125	0.005	0
0.065	0.0078125	-0.0028125	0.005	0.0115625	0.001875	-0.0034375
0.066	0.0071875	0.00125	0.005	0.015625	0.004375	0.000625
0.067	0.0078125	-0.0028125	0.0040625	0.0134375	0.0015625	0.0028125
0.068	0.0084375	-0.0015625	0.00375	0.015	0.003125	-0.000625
0.069	0.00625	-0.0009375	0.0046875	0.016875	0.0009375	-0.0003125
0.07	0.0065625	-0.0021875	0.005625	0.01375	0.0021875	0.003125
0.071	0.0090625	-0.0009375	0.0034375	0.01625	0.0003125	-0.0003125
0.072	0.0065625	-0.0034375	0.008125	0.014375	0.003125	0.0015625
0.073	0.004375	-0.0015625	0.004375	0.0125	0	-0.001875
0.074	0.0065625	-0.0021875	0.0053125	0.01375	0.0046875	0.0040625
0.075	0.006875	-0.0028125	0.00375	0.014375	0.0046875	0.0009375
0.076	0.0075	-0.00375	0.0046875	0.01625	0.005	0.0021875
0.077	0.01	-0.0009375	0.0021875	0.0125	0.00375	0
0.078	0.0053125	-0.0021875	0.005625	0.0128125	0.003125	-0.0003125
0.079	0.0065625	-0.003125	0.0059375	0.0109375	0.0028125	0.00375
0.08	0.008125	-0.00375	0.0053125	0.0153125	0.005625	0.00125
0.081	0.005625	-0.001875	0.0053125	0.01625	0.00375	0.0009375
0.082	0.0065625	-0.0015625	0.004375	0.0121875	0.0025	-0.0025
0.083	0.0090625	-0.00375	0.00375	0.015	0.0046875	0.0025
0.084	0.008125	-0.0028125	0.0028125	0.011875	0.003125	0.0003125
0.085	0.008125	-0.0009375	0.0071875	0.0146875	0.0021875	0.000625
0.086	0.0059375	-0.0009375	0.0021875	0.01375	0.0065625	-0.000625
0.087	0.0040625	-0.0034375	0.004375	0.015625	0.003125	0.000625
0.088	0.005625	-0.001875	0.0040625	0.0134375	0.001875	0.003125
0.089	0.0059375	0.000625	0.001875	0.014375	0.005	-0.0003125
0.09	0.006875	-0.001875	0.0071875	0.0134375	0.005	-0.0040625
0.091	0.006875	-0.0015625	0.00625	0.016875	0.0053125	-0.00125
0.092	0.0071875	-0.0028125	0.0034375	0.0125	0.005	-0.0009375
0.093	0.006875	0	0.0053125	0.014375	0.0065625	-0.0009375
0.094	0.0075	0.0025	0.0028125	0.015625	0.003125	-0.0040625
0.095	0.0046875	-0.0040625	0.0025	0.014375	0.003125	0.0009375
0.096	0.0059375	-0.0028125	0.005	0.016875	0.004375	0.0021875
0.097	0.0053125	-0.0028125	0.005	0.0128125	0.0053125	0.001875
0.098	0.008125	-0.0028125	0.00625	0.015	0.0034375	-0.0040625
0.099	0.008125	-0.0003125	0.005625	0.0140625	0.00375	-0.0015625
0.1	0.006875	-0.0009375	0.003125	0.01375	0.0059375	0.0034375
0.101	0.006875	-0.000625	0.0046875	0.0134375	0.0053125	0.0034375
0.102	0.0065625	-0.000625	0.0059375	0.0128125	0.003125	-0.000625
0.103	0.006875	-0.000625	0.0053125	0.0125	0.0040625	-0.0015625
0.104	0.008125	-0.001875	0.005625	0.01375	0.0040625	0.0021875
0.105	0.0096875	-0.0059375	0.0059375	0.0146875	0.005	0.0025
0.106	0.0065625	-0.0003125	0.0065625	0.0134375	0.0040625	-0.0009375
0.107	0.0075	0.000625	0.006875	0.0134375	0.0075	0.0003125
0.108	0.00625	-0.005625	0.005625	0.011875	0.0046875	0.0034375
0.109	0.008125	-0.0034375	0.0053125	0.013125	0.0059375	0.0003125
0.11	0.00875	-0.0009375	0.005625	0.0140625	0.0046875	0.0003125
0.111	0.0053125	0.00125	0.0071875	0.014375	0.0046875	-0.0046875
0.112	0.0075	-0.001875	0.005	0.014375	0.0028125	0.000625
0.113	0.0071875	-0.001875	0.0046875	0.013125	0.001875	0.004375
0.114	0.0065625	-0.0021875	0.0046875	0.015	0.0059375	0.001875
0.115	0.005625	-0.0003125	0.0053125	0.0134375	0.0053125	-0.000625
0.116	0.00625	-0.0015625	0.00375	0.014375	0.0040625	-0.0028125
0.117	0.009375	-0.0003125	0.004375	0.0165625	0.0034375	0.0003125
0.118	0.0096875	-0.0009375	0.005	0.0103125	0.004375	-0.00125
0.119	0.00875	-0.0025	0.0040625	0.01375	0.0059375	-0.0040625
0.12	0.0071875	0.00125	0.0015625	0.0103125	0.00375	0
0.121	0.005	-0.004375	0.0034375	0.015	0.004375	0.003125
0.122	0.0046875	-0.0009375	0.005	0.0140625	0.0028125	0
0.123	0.0084375	0	0.005625	0.013125	0.004375	-0.0021875
0.124	0.008125	-0.00125	0.003125	0.0125	0.00375	0.0003125
0.125	0.0075	-0.0003125	0.006875	0.014375	0.004375	0.000625
