Interval=	0.001 s
ExcelDateTime=	4.6199492561225590e+004	6/26/2026 11:49:17.289891
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0	0.0071875	0.025625	0.800625	1.43125	1.090313	0.2571875
0.001	0.005625	0.02	0.8	1.4325	1.088125	0.2584375
0.002	0.00875	0.01875	0.8003125	1.431563	1.088437	0.260625
0.003	0.011875	0.0221875	0.7978125	1.429688	1.089687	0.2609375
0.004	0.0078125	0.0196875	0.7984375	1.431875	1.090938	0.2628125
0.005	0.0109375	0.019375	0.801875	1.432187	1.087813	0.26125
0.006	0.010625	0.023125	0.803125	1.428125	1.089687	0.2575
0.007	0.0096875	0.021875	0.798125	1.432813	1.087188	0.2615625
0.008	0.005	0.018125	0.8025	1.43125	1.089687	0.26
0.009	0.0078125	0.0196875	0.8009375	1.42875	1.088125	0.263125
0.01	0.0084375	0.0165625	0.8	1.429063	1.087813	0.2615625
0.011	0.011875	0.0175	0.801875	1.42875	1.089063	0.2621875
0.012	0.006875	0.0215625	0.801875	1.43	1.0875	0.261875
0.013	0.0078125	0.0209375	0.799375	1.430313	1.091563	0.2634375
0.014	0.01	0.0221875	0.799375	1.431563	1.085313	0.260625
0.015	0.009375	0.0234375	0.7971875	1.429063	1.088125	0.2578125
0.016	0.0071875	0.020625	0.799375	1.432187	1.088125	0.2584375
0.017	0.0053125	0.021875	0.80125	1.43125	1.087188	0.259375
0.018	0.011875	0.01875	0.7996875	1.43	1.090625	0.260625
0.019	0.0078125	0.0190625	0.804375	1.43	1.090625	0.26125
0.02	0.0075	0.021875	0.8	1.432187	1.090313	0.2628125
0.021	0.0059375	0.0203125	0.8015625	1.432187	1.089063	0.2590625
0.022	0.01125	0.019375	0.801875	1.432813	1.089063	0.2628125
0.023	0.009375	0.0228125	0.799375	1.431563	1.087188	0.2640625
