Interval=	0.001 s
ExcelDateTime=	4.6199489628011965e+004	6/26/2026 11:45:03.860234
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0	0.05	-0.0090625	0.805	-1.445938	-1.068437	0.4684375
0.001	0.0484375	-0.008125	0.8034375	-1.445313	-1.073125	0.4715625
0.002	0.0475	-0.008125	0.80375	-1.44375	-1.068437	0.4740625
0.003	0.05	-0.009375	0.8021875	-1.446875	-1.068437	0.473125
0.004	0.046875	-0.005625	0.8028125	-1.447188	-1.067813	0.4734375
0.005	0.0503125	-0.0075	0.8053125	-1.445	-1.0675	0.4728125
0.006	0.0471875	-0.0084375	0.80375	-1.444375	-1.068125	0.4675
0.007	0.0478125	-0.0078125	0.80125	-1.443125	-1.067813	0.4665625
0.008	0.048125	-0.01	0.8025	-1.442813	-1.069063	0.4653125
0.009	0.04875	-0.0090625	0.803125	-1.441875	-1.066875	0.4684375
0.01	0.049375	-0.0084375	0.801875	-1.443437	-1.062812	0.4703125
0.011	0.048125	-0.006875	0.8025	-1.445	-1.065313	0.4696875
0.012	0.048125	-0.0084375	0.8025	-1.4425	-1.0675	0.47
0.013	0.0471875	-0.00625	0.803125	-1.4425	-1.064688	0.47
0.014	0.048125	-0.0053125	0.7990625	-1.444375	-1.065938	0.46875
0.015	0.0478125	-0.0046875	0.8034375	-1.440625	-1.064062	0.4671875
0.016	0.045	-0.004375	0.80375	-1.440313	-1.064062	0.4675
0.017	0.0425	-0.0034375	0.801875	-1.442188	-1.067813	0.465
0.018	0.0446875	-0.0040625	0.801875	-1.441875	-1.067188	0.4684375
0.019	0.0421875	-0.0065625	0.79875	-1.441563	-1.065	0.468125
0.02	0.0440625	-0.0075	0.800625	-1.4425	-1.064375	0.466875
0.021	0.04375	-0.0084375	0.8034375	-1.444688	-1.06625	0.4675
0.022	0.0446875	-0.0090625	0.8034375	-1.443125	-1.064062	0.46625
0.023	0.0459375	-0.0103125	0.801875	-1.444063	-1.066563	0.4671875
0.024	0.04875	-0.005625	0.80125	-1.442813	-1.066563	0.4646875
0.025	0.0484375	-0.0071875	0.799375	-1.444688	-1.06875	0.469375
0.026	0.0484375	-0.0059375	0.805	-1.446875	-1.067813	0.470625
0.027	0.048125	-0.009375	0.80125	-1.443437	-1.06625	0.4740625
0.028	0.0503125	-0.008125	0.8021875	-1.444375	-1.068437	0.4721875
0.029	0.049375	-0.0065625	0.8025	-1.446563	-1.065313	0.4690625
0.03	0.050625	-0.0090625	0.8009375	-1.447188	-1.06875	0.47125
0.031	0.0503125	-0.0090625	0.8021875	-1.444688	-1.067188	0.469375
0.032	0.0534375	-0.009375	0.80375	-1.445625	-1.068437	0.4671875
0.033	0.0528125	-0.0103125	0.805625	-1.443125	-1.070313	0.4696875
0.034	0.048125	-0.0134375	0.8015625	-1.443437	-1.067188	0.471875
0.035	0.0521875	-0.0109375	0.805	-1.446875	-1.067813	0.4721875
0.036	0.0490625	-0.01375	0.80375	-1.444688	-1.06875	0.4715625
0.037	0.05	-0.0115625	0.8034375	-1.44375	-1.06875	0.469375
0.038	0.045625	-0.0109375	0.8034375	-1.446563	-1.071563	0.4696875
