Interval=	0.001 s
ExcelDateTime=	4.6199557208069433e+004	6/26/2026 13:22:22.777199
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0	0.015	0.01875	0.1996875	0.3365625	-0.3140625	-0.0028125
0.001	0.016875	0.0203125	0.2009375	0.34125	-0.31375	-0.00375
0.002	0.015625	0.0203125	0.1984375	0.3396875	-0.314375	-0.00125
0.003	0.0175	0.0196875	0.1990625	0.341875	-0.313125	-0.0034375
0.004	0.015	0.020625	0.1953125	0.339375	-0.3171875	-0.0009375
0.005	0.01375	0.018125	0.1975	0.34	-0.314375	-0.0021875
0.006	0.0165625	0.018125	0.1978125	0.339375	-0.3146875	-0.0034375
0.007	0.0165625	0.0196875	0.198125	0.34	-0.3140625	-0.0040625
0.008	0.01625	0.01875	0.199375	0.340625	-0.3134375	-0.0034375
0.009	0.0153125	0.019375	0.198125	0.3375	-0.314375	-0.003125
0.01	0.0165625	0.0209375	0.1975	0.3378125	-0.3128125	-0.0028125
0.011	0.01375	0.0178125	0.2009375	0.3371875	-0.3134375	-0.003125
0.012	0.0159375	0.0209375	0.1965625	0.338125	-0.31625	-0.005625
0.013	0.0146875	0.02125	0.19875	0.3390625	-0.3146875	-0.0059375
0.014	0.015625	0.019375	0.1996875	0.335625	-0.3159375	-0.0046875
0.015	0.015625	0.0203125	0.19875	0.3365625	-0.3146875	-0.0034375
0.016	0.0175	0.0215625	0.1996875	0.3384375	-0.3134375	-0.0009375
0.017	0.01625	0.0190625	0.1975	0.338125	-0.3140625	-0.0053125
0.018	0.01375	0.0215625	0.1984375	0.3409375	-0.309375	-0.005625
0.019	0.015625	0.020625	0.2015625	0.341875	-0.3134375	-0.0003125
0.02	0.0165625	0.018125	0.1990625	0.338125	-0.3146875	-0.00125
0.021	0.014375	0.0196875	0.1984375	0.339375	-0.3134375	-0.0040625
0.022	0.014375	0.0184375	0.1978125	0.3371875	-0.315	-0.0034375
0.023	0.014375	0.01875	0.19625	0.3384375	-0.3140625	-0.0034375
0.024	0.0159375	0.0184375	0.196875	0.338125	-0.3125	-0.0040625
0.025	0.015	0.016875	0.1965625	0.33875	-0.311875	-0.00375
0.026	0.0140625	0.01875	0.19875	0.3359375	-0.314375	-0.005
0.027	0.0171875	0.02	0.199375	0.3396875	-0.315	-0.0053125
0.028	0.01625	0.0171875	0.2	0.3390625	-0.313125	-0.0040625
0.029	0.0134375	0.019375	0.2	0.33875	-0.315	-0.0034375
0.03	0.0159375	0.0178125	0.1978125	0.338125	-0.3121875	-0.0015625
0.031	0.0153125	0.0190625	0.19875	0.34	-0.3140625	-0.0040625
0.032	0.014375	0.0215625	0.1971875	0.3403125	-0.3140625	-0.0028125
0.033	0.016875	0.0190625	0.196875	0.338125	-0.3159375	-0.0034375
0.034	0.015	0.0190625	0.196875	0.339375	-0.3128125	-0.0034375
0.035	0.01625	0.0178125	0.19875	0.34	-0.3146875	-0.0040625
0.036	0.0153125	0.0215625	0.1978125	0.3384375	-0.3134375	-0.001875
0.037	0.015625	0.0175	0.1984375	0.339375	-0.315	-0.0015625
0.038	0.0171875	0.018125	0.20125	0.339375	-0.31375	-0.0059375
0.039	0.0125	0.0196875	0.1990625	0.3384375	-0.31375	-0.005
0.04	0.015	0.0196875	0.1978125	0.3371875	-0.3125	-0.0021875
0.041	0.015625	0.0184375	0.1984375	0.34	-0.3146875	-0.004375
0.042	0.014375	0.0184375	0.1978125	0.3384375	-0.315	-0.0046875
0.043	0.0125	0.019375	0.19875	0.3396875	-0.3140625	-0.0028125
0.044	0.0134375	0.0184375	0.19875	0.336875	-0.3159375	-0.00375
0.045	0.015625	0.019375	0.1978125	0.3415625	-0.3121875	0
0.046	0.016875	0.0178125	0.199375	0.3403125	-0.315	-0.0028125
0.047	0.01375	0.01875	0.1959375	0.33625	-0.3140625	-0.003125
0.048	0.015	0.0190625	0.19875	0.3378125	-0.3165625	-0.0028125
0.049	0.0165625	0.0203125	0.1984375	0.3384375	-0.3134375	-0.0028125
0.05	0.0140625	0.018125	0.19875	0.3384375	-0.3134375	-0.000625
0.051	0.015625	0.0203125	0.1965625	0.338125	-0.315	-0.0040625
0.052	0.0159375	0.0178125	0.1996875	0.34125	-0.314375	-0.00375
0.053	0.016875	0.019375	0.1978125	0.3396875	-0.31375	-0.0040625
0.054	0.015	0.0203125	0.198125	0.33625	-0.3134375	-0.00375
0.055	0.0146875	0.0221875	0.1965625	0.3378125	-0.3153125	-0.0003125
0.056	0.014375	0.0203125	0.1975	0.3403125	-0.3153125	-0.0040625
0.057	0.015625	0.021875	0.1996875	0.3384375	-0.315625	-0.0021875
0.058	0.016875	0.02125	0.199375	0.3390625	-0.314375	-0.0021875
0.059	0.0140625	0.018125	0.1965625	0.3403125	-0.3140625	-0.0021875
0.06	0.0153125	0.0196875	0.1984375	0.33875	-0.3134375	-0.004375
0.061	0.0165625	0.018125	0.1971875	0.3390625	-0.3140625	-0.0046875
0.062	0.01875	0.0203125	0.2009375	0.340625	-0.31625	-0.0034375
0.063	0.0159375	0.0165625	0.200625	0.339375	-0.315	-0.0028125
0.064	0.015625	0.0209375	0.1965625	0.3390625	-0.3125	-0.0028125
0.065	0.0159375	0.0175	0.1971875	0.339375	-0.311875	-0.000625
0.066	0.0165625	0.0203125	0.1990625	0.3384375	-0.315	-0.0028125
0.067	0.0140625	0.0184375	0.1984375	0.33875	-0.3153125	-0.004375
0.068	0.0184375	0.0203125	0.2003125	0.3365625	-0.318125	-0.003125
0.069	0.0159375	0.02125	0.1984375	0.3390625	-0.3146875	-0.003125
0.07	0.0153125	0.0221875	0.198125	0.3390625	-0.3128125	-0.0015625
0.071	0.015625	0.0171875	0.1975	0.3384375	-0.315	-0.00375
0.072	0.016875	0.018125	0.1984375	0.3375	-0.3171875	-0.001875
0.073	0.0153125	0.0184375	0.2	0.33625	-0.315625	-0.0053125
0.074	0.0175	0.0203125	0.198125	0.3378125	-0.3125	-0.003125
0.075	0.01625	0.0203125	0.199375	0.335625	-0.314375	-0.004375
0.076	0.0146875	0.021875	0.194375	0.3390625	-0.3140625	-0.00375
0.077	0.01625	0.0171875	0.199375	0.3371875	-0.310625	-0.0053125
0.078	0.015	0.02125	0.19875	0.3421875	-0.3134375	-0.005625
0.079	0.015	0.0184375	0.1996875	0.3390625	-0.314375	0.0003125
0.08	0.015	0.0178125	0.1990625	0.3403125	-0.3134375	-0.0021875
0.081	0.015	0.0225	0.199375	0.3375	-0.314375	-0.003125
0.082	0.0184375	0.02	0.1965625	0.339375	-0.3178125	-0.0059375
0.083	0.0146875	0.0203125	0.1978125	0.3375	-0.3153125	-0.0021875
0.084	0.0178125	0.01625	0.198125	0.339375	-0.3159375	-0.0028125
0.085	0.01625	0.0184375	0.19875	0.339375	-0.318125	-0.0025
0.086	0.0146875	0.02	0.1996875	0.3396875	-0.3134375	-0.0028125
0.087	0.0171875	0.02	0.1990625	0.336875	-0.31375	-0.003125
0.088	0.0128125	0.0196875	0.19625	0.33625	-0.3153125	-0.004375
0.089	0.01375	0.01875	0.1978125	0.336875	-0.3146875	-0.008125
0.09	0.0171875	0.0165625	0.1984375	0.340625	-0.3128125	-0.0065625
0.091	0.0159375	0.0215625	0.199375	0.3409375	-0.3146875	-0.001875
0.092	0.016875	0.01875	0.196875	0.338125	-0.3134375	-0.004375
0.093	0.0159375	0.0196875	0.1996875	0.33875	-0.3134375	-0.0009375
0.094	0.0178125	0.0175	0.1984375	0.34125	-0.313125	-0.0028125
0.095	0.0165625	0.016875	0.198125	0.34	-0.31625	-0.0034375
0.096	0.014375	0.0190625	0.2	0.3384375	-0.314375	-0.0025
0.097	0.0146875	0.0184375	0.1978125	0.339375	-0.315	-0.0034375
0.098	0.0115625	0.019375	0.1978125	0.3375	-0.3153125	-0.003125
0.099	0.0190625	0.0175	0.2	0.34	-0.3146875	-0.0046875
0.1	0.014375	0.01875	0.2003125	0.3365625	-0.315	-0.0021875
0.101	0.0159375	0.019375	0.1984375	0.3384375	-0.315	-0.004375
0.102	0.0146875	0.0171875	0.1990625	0.338125	-0.31625	-0.0046875
0.103	0.0146875	0.0190625	0.196875	0.336875	-0.315625	-0.00375
0.104	0.0171875	0.0203125	0.1975	0.3384375	-0.316875	-0.0028125
0.105	0.0171875	0.0209375	0.1975	0.3375	-0.3125	-0.005625
0.106	0.01625	0.0184375	0.19875	0.33875	-0.3153125	-0.0034375
0.107	0.0140625	0.02	0.1984375	0.3384375	-0.310625	-0.00375
0.108	0.0165625	0.0184375	0.19875	0.3396875	-0.315625	-0.0053125
0.109	0.018125	0.0209375	0.1978125	0.3434375	-0.31625	-0.0025
0.11	0.014375	0.0171875	0.198125	0.339375	-0.3125	-0.00125
0.111	0.014375	0.021875	0.2	0.338125	-0.314375	0.0015625
0.112	0.01625	0.01875	0.19875	0.3403125	-0.313125	-0.0021875
0.113	0.014375	0.02	0.1984375	0.33875	-0.3153125	-0.0015625
0.114	0.0146875	0.019375	0.1965625	0.338125	-0.3165625	-0.0046875
0.115	0.01375	0.020625	0.1953125	0.3403125	-0.3146875	-0.0034375
0.116	0.01375	0.01875	0.1975	0.33875	-0.314375	-0.0040625
0.117	0.015	0.0196875	0.196875	0.33875	-0.31625	-0.0075
0.118	0.01625	0.0190625	0.1984375	0.3346875	-0.3140625	-0.0021875
0.119	0.015625	0.0209375	0.1971875	0.338125	-0.31375	-0.0015625
0.12	0.015	0.0190625	0.1975	0.3384375	-0.3153125	-0.00125
0.121	0.0134375	0.0178125	0.1975	0.34	-0.314375	-0.004375
0.122	0.013125	0.0196875	0.1978125	0.33875	-0.315625	-0.00375
0.123	0.0153125	0.0190625	0.19875	0.3396875	-0.31375	-0.000625
0.124	0.0165625	0.020625	0.1975	0.339375	-0.31625	-0.00125
0.125	0.0146875	0.0190625	0.1975	0.3403125	-0.3134375	-0.00125
0.126	0.0153125	0.02	0.196875	0.3390625	-0.313125	-0.0028125
