Interval=	0.001 s
ExcelDateTime=	4.6199553692194582e+004	6/26/2026 13:17:19.005612
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0	-0.005	0.0071875	0.19375	-0.3315625	0.3221875	0.0084375
0.001	-0.0075	0.0109375	0.191875	-0.3325	0.3225	0.0103125
0.002	-0.005625	0.0071875	0.1915625	-0.3303125	0.321875	0.00875
0.003	-0.005625	0.005625	0.1940625	-0.3315625	0.32	0.009375
0.004	-0.0071875	0.01125	0.193125	-0.32875	0.321875	0.0075
0.005	-0.00375	0.0075	0.1921875	-0.329375	0.32	0.0096875
0.006	-0.00625	0.0084375	0.196875	-0.3315625	0.320625	0.006875
0.007	-0.006875	0.0071875	0.195	-0.329375	0.3221875	0.008125
0.008	-0.0046875	0.0103125	0.1940625	-0.33125	0.3196875	0.0090625
0.009	-0.0065625	0.0071875	0.19375	-0.3296875	0.3228125	0.0040625
0.01	-0.0046875	0.0103125	0.19375	-0.33	0.3215625	0.0096875
0.011	-0.006875	0.0096875	0.194375	-0.331875	0.318125	0.005
0.012	-0.0040625	0.00625	0.193125	-0.3303125	0.32375	0.0075
0.013	-0.0053125	0.00875	0.194375	-0.329375	0.319375	0.00875
0.014	-0.0053125	0.0075	0.1940625	-0.329375	0.323125	0.00875
0.015	-0.005625	0.00875	0.191875	-0.3296875	0.31875	0.00875
0.016	-0.0059375	0.0075	0.19375	-0.3315625	0.3196875	0.006875
0.017	-0.005	0.0065625	0.1946875	-0.333125	0.32375	0.0090625
0.018	-0.0059375	0.0059375	0.1925	-0.326875	0.3225	0.0065625
0.019	-0.0065625	0.006875	0.1940625	-0.330625	0.319375	0.0109375
0.02	-0.006875	0.0096875	0.1940625	-0.3309375	0.320625	0.0059375
0.021	-0.005	0.00875	0.194375	-0.3325	0.32375	0.0084375
0.022	-0.004375	0.0075	0.1946875	-0.331875	0.320625	0.0109375
0.023	-0.00625	0.0084375	0.1925	-0.329375	0.3225	0.0084375
0.024	-0.0075	0.0078125	0.1934375	-0.3315625	0.3209375	0.0065625
0.025	-0.005625	0.0096875	0.19375	-0.3321875	0.3228125	0.00625
0.026	-0.003125	0.0128125	0.19375	-0.3290625	0.3240625	0.008125
0.027	-0.0028125	0.00875	0.195	-0.33125	0.3228125	0.00625
0.028	-0.0053125	0.0065625	0.1946875	-0.3284375	0.321875	0.0065625
0.029	-0.005	0.0103125	0.193125	-0.330625	0.3215625	0.0071875
0.03	-0.00375	0.0075	0.1946875	-0.3325	0.325625	0.0078125
0.031	-0.0084375	0.010625	0.1928125	-0.32875	0.3203125	0.005625
0.032	-0.0075	0.01	0.1934375	-0.33	0.3228125	0.0084375
0.033	-0.0059375	0.0071875	0.19625	-0.331875	0.3215625	0.0084375
0.034	-0.0053125	0.0084375	0.1940625	-0.3303125	0.321875	0.00875
0.035	-0.006875	0.010625	0.190625	-0.33125	0.32125	0.009375
0.036	-0.006875	0.0078125	0.195625	-0.3334375	0.32125	0.00875
0.037	-0.0040625	0.00875	0.1953125	-0.3303125	0.32	0.008125
0.038	-0.0075	0.0071875	0.1928125	-0.330625	0.323125	0.0096875
0.039	-0.0053125	0.0059375	0.191875	-0.3325	0.3203125	0.0096875
0.04	-0.00625	0.0090625	0.1946875	-0.329375	0.319375	0.0065625
0.041	-0.0034375	0.0109375	0.1946875	-0.331875	0.3246875	0.0071875
0.042	-0.00625	0.009375	0.1940625	-0.3284375	0.319375	0.0078125
0.043	-0.0059375	0.0090625	0.1959375	-0.3325	0.321875	0.0084375
0.044	-0.00625	0.009375	0.1959375	-0.330625	0.3203125	0.0065625
0.045	-0.0065625	0.010625	0.194375	-0.33	0.320625	0.008125
0.046	-0.0046875	0.0065625	0.19375	-0.33	0.3203125	0.0109375
0.047	-0.0034375	0.008125	0.193125	-0.33125	0.320625	0.0103125
0.048	-0.005	0.008125	0.1946875	-0.330625	0.3196875	0.0096875
0.049	-0.005	0.0071875	0.1959375	-0.3296875	0.32	0.009375
0.05	-0.005625	0.0109375	0.1928125	-0.329375	0.32125	0.0090625
0.051	-0.0065625	0.0084375	0.193125	-0.32875	0.3215625	0.0071875
0.052	-0.0046875	0.0059375	0.1946875	-0.3315625	0.323125	0.0078125
0.053	-0.0046875	0.008125	0.1959375	-0.329375	0.321875	0.006875
0.054	-0.00625	0.010625	0.1946875	-0.3309375	0.3221875	0.0078125
0.055	-0.0053125	0.00875	0.1953125	-0.3328125	0.3225	0.01125
0.056	-0.0021875	0.0078125	0.1953125	-0.3303125	0.3215625	0.00875
0.057	-0.0053125	0.0071875	0.1959375	-0.331875	0.323125	0.00875
0.058	-0.0078125	0.0071875	0.1940625	-0.3284375	0.3190625	0.0125
0.059	-0.0071875	0.008125	0.1921875	-0.329375	0.3190625	0.00625
0.06	-0.0046875	0.0096875	0.1934375	-0.3309375	0.323125	0.0078125
